20141128,5
20141128,5
20141127,5
20141126,7
20141125,7
20141124,5
20141123,3
20141122,2
20141121,17
20141120,7
20141119,8
20141118,8
20141117,8
20141116,1
20141115,0
20141114,0
20141113,9
20141112,5
20141111,7
20141110,9
20141109,3
20141108,3
20141107,16
20141106,9
20141105,13
20141104,18
20141103,6
20141102,6
20141101,6
20141031,17
20141030,28
20141029,41
20141028,29
20141027,6
20141026,4
20141025,4
20141024,8
20141023,11
20141022,8
20141021,3
20141020,40
20141019,17
20141018,5
20141017,5
20141016,13
20141015,14
20141014,18
20141013,26
20141012,15
20141011,13
20141010,11
20141009,13
20141008,10
20141007,7
20141006,9
20141005,14
20141004,8
20141003,9
20141002,6
20141001,7
20140930,24
20140929,37
20140928,46
20140927,11
20140926,21
20140925,15
20140924,23
20140923,41
20140922,59
20140921,30
20140920,32
20140919,54
20140918,89
20140917,120
20140916,214
20140915,116
20140914,210
20140913,79
20140912,79
20140911,55
20140910,31
20140909,23
20140908,19
20140907,9
20140906,10
20140905,54
20140904,29
20140903,35
20140902,90
20140901,65
20140831,52
20140830,37
20140829,37
20140828,52
20140827,55
20140826,47
20140825,44
20140824,53
20140823,40
20140822,64
20140821,98
20140820,241
20140819,154
20140818,84
20140817,34
20140816,47
20140815,36
20140814,55
20140813,58
20140812,86
20140811,63
20140810,31
20140809,66
20140808,116
20140807,90
20140806,88
20140805,39
20140804,47
20140803,22
20140802,0
20140801,72
20140731,84
20140730,62
20140729,104
20140728,90
20140727,90
20140726,106
20140725,223
20140724,266
20140723,152
20140722,89
20140721,83
20140720,61
20140719,161
20140718,126
20140717,173
20140716,348
20140715,442
20140714,76
20140713,70
20140712,77
20140711,117
20140710,133
20140709,135
20140708,99
20140707,107
20140706,74
20140705,163
20140704,113
20140703,95
20140702,44
20140701,98
20140630,81
20140629,45
20140628,82
20140627,97
20140626,73
20140625,84
20140624,119
20140623,131
20140622,83
20140621,161
20140620,193
20140619,129
20140618,113
20140617,93
20140616,134
20140615,47
20140614,30
20140613,62
20140612,236
20140611,202
20140610,91
20140609,215
20140608,44
20140607,50
20140606,98
20140605,141
20140604,195
20140603,536
20140602,115
20140601,16
20140531,25
20140530,61
20140529,51
20140528,97
20140527,153
20140526,138
20140525,105
20140524,91
20140523,124
20140522,150
20140521,130
20140520,156
20140519,176
20140518,167
20140517,129
20140516,151
20140515,139
20140514,314
20140513,541
20140512,2062
20140511,561
20140510,118
20140509,109
20140508,79
20140507,42
20140506,19
20140505,19
20140504,11
20140503,6
20140502,12
20140501,20
20140430,14
20140429,17
20140428,26
20140427,20
20140426,45
20140425,34
20140424,39
20140423,46
20140422,49
20140421,95
20140420,38
20140419,48
20140418,53
20140417,65
20140416,85
20140415,65
20140414,174
20140413,78
20140412,70
20140411,74
20140410,62
20140409,76
20140408,62
20140407,77
20140406,48
20140405,60
20140404,67
20140403,96
20140402,401
20140401,347
20140331,305
20140330,160
20140329,18
20140328,34
20140327,31
20140326,37
20140325,34
20140324,59
20140323,15
20140322,10
20140321,24
20140320,33
20140319,31
20140318,23
20140317,53
20140316,14
20140315,14
20140314,14
20140313,18
20140312,9
20140311,43
20140310,51
20140309,18
20140308,55
20140307,13
20140306,8
20140305,8
20140304,14
20140303,9
20140302,10
20140301,6
20140228,7
20140227,12
20140226,31
20140225,44
20140224,62
20140223,17
20140222,26
20140221,35
20140220,15
20140219,41
20140218,110
20140217,95
20140216,22
20140215,18
20140214,7
20140213,33
20140212,28
20140211,37
20140210,64
20140209,23
20140208,13
20140207,14
20140206,5
20140205,14
20140204,35
20140203,48
20140202,12
20140201,17
20140131,7
20140130,16
20140129,39
20140128,36
20140127,32
20140126,18
20140125,22
20140124,18
20140123,25
20140122,43
20140121,40
20140120,44
20140119,14
20140118,14
20140117,21
20140116,48
20140115,69
20140114,53
20140113,53
20140112,42
20140111,51
20140110,30
20140109,42
20140108,19
20140107,41
20140106,47
20140105,12
20140104,26
20140103,35
20140102,49
20140101,29
20131231,42
20131230,48
20131229,19
20131228,37
20131227,26
20131226,17
20131225,30
20131224,51
20131223,50
20131222,21
20131221,17
20131220,21
20131219,21
20131218,21
20131217,33
20131216,44
20131215,34
20131214,29
20131213,56
20131212,40
20131211,52
20131210,59
20131209,48
20131208,57
20131207,61
20131206,46
20131205,39
20131204,28
20131203,41
20131202,36
20131201,28
20131130,36
20131129,40
20131128,43
20131127,41
20131126,44
20131125,61
20131124,57
20131123,61
20131122,62
20131121,64
20131120,62
20131119,83
20131118,61
20131117,57
20131116,75
20131115,83
20131114,78
20131113,128
20131112,148
20131111,236
20131110,68
20131109,43
20131108,73
20131107,62
20131106,57
20131105,40
20131104,51
20131103,54
20131102,32
20131101,129
20131031,65
20131030,77
20131029,88
20131028,61
20131027,51
20131026,52
20131025,75
20131024,66
20131023,51
20131022,79
20131021,81
20131020,72
20131019,62
20131018,72
20131017,97
20131016,99
20131015,98
20131014,146
20131013,134
20131012,231
20131011,290
20131010,600
20131009,1163
20131008,3093
20131007,513
20131006,92
20131005,49
20131004,30
20131003,42
20131002,31
20131001,45
20130930,66
20130929,46
20130928,45
20130927,58
20130926,87
20130925,110
20130924,93
20130923,156
20130922,180
20130921,109
20130920,85
20130919,69
20130918,82
20130917,141
20130916,94
20130915,129
20130914,94
20130913,126
20130912,88
20130911,85
20130910,78
20130909,94
20130908,86
20130907,87
20130906,105
20130905,105
20130904,121
20130903,122
20130902,163
20130901,191
20130831,488
20130830,236
20130829,108
20130828,118
20130827,152
20130826,164
20130825,106
20130824,189
20130823,171
20130822,246
20130821,244
20130820,301
20130819,578
20130818,410
20130817,381
20130816,442
20130815,157
20130814,110
20130813,71
20130812,94
20130811,98
20130810,82
20130809,68
20130808,98
20130807,157
20130806,135
20130805,109
20130804,71
20130803,112
20130802,125
20130801,187
20130731,154
20130730,167
20130729,183
20130728,142
20130727,181
20130726,300
20130725,192
20130724,196
20130723,276
20130722,475
20130721,313
20130720,522
20130719,905
20130718,216
20130717,242
20130716,284
20130715,319
20130714,227
20130713,671
20130712,289
20130711,246
20130710,455
20130709,541
20130708,242
20130707,243
20130706,173
20130705,203
20130704,194
20130703,179
20130702,219
20130701,244
20130630,259
20130629,95
20130628,148
20130627,150
20130626,141
20130625,330
20130624,184
20130623,60
20130622,63
20130621,99
20130620,113
20130619,75
20130618,55
20130617,39
20130616,46
20130615,38
20130614,64
20130613,60
20130612,72
20130611,93
20130610,260
20130609,296
20130608,156
20130607,164
20130606,98
20130605,79
20130604,72
20130603,65
20130602,33
20130601,40
20130531,69
20130530,157
20130529,102
20130528,108
20130527,165
20130526,153
20130525,156
20130524,127
20130523,203
20130522,203
20130521,216
20130520,149
20130519,158
20130518,151
20130517,306
20130516,529
20130515,173
20130514,213
20130513,63
20130512,50
20130511,56
20130510,200
20130509,376
20130508,664
20130507,199
20130506,45
20130505,43
20130504,62
20130503,64
20130502,70
20130501,80
20130430,359
20130429,95
20130428,42
20130427,53
20130426,40
20130425,53
20130424,41
20130423,38
20130422,52
20130421,52
20130420,99
20130419,60
20130418,107
20130417,52
20130416,37
