聊城酒店,聊城红运宾馆,火车站对过站前街商贸城,,,,,http://hotels.ctrip.com/hotel/4740329.html,
东莞酒店,东莞万发旅馆,高埗镇振兴东五横路148号，近振兴南路。 【高埗镇】,,,,,http://hotels.ctrip.com/hotel/2138656.html,
成都酒店,青城山望鹤楼,青城山镇。 【 青城山】,,,,,http://hotels.ctrip.com/hotel/4365352.html,
昆明酒店,昆明龙月招待所,宏仁新村12排中246号新螺蛳湾正对面。 【新螺蛳湾地区】,,,,,http://hotels.ctrip.com/hotel/4364170.html,
东莞酒店,海鸿租房住宿(东莞振华路店）,茶山镇振华路33号，振华路。 【茶山镇】,,,,,http://hotels.ctrip.com/hotel/1524816.html,
成都酒店,成都雷三姐住宿,武侯区新园大道296号（武侯区，近石桥路）,,,,,http://hotels.ctrip.com/hotel/2271441.html,
菏泽酒店,短租公寓（菏泽凤凰城五店）,中华路凤凰城E栋1801室（近幸福街）,,,,,http://hotels.ctrip.com/hotel/1965534.html,
成都酒店,成都众鑫左岸宾馆,郫县传媒影视学院右侧面。 【郫县地区】,,,,,http://hotels.ctrip.com/hotel/2074216.html,
菏泽酒店,菏泽祥记御宴楼宾馆,牡丹区黄河东路博爱医院东200米处（牡丹区，近广州路）,,,,,http://hotels.ctrip.com/hotel/2590905.html,
宁波酒店,宁波大桥商务宾馆,宁波姜山镇人民中路10号,,,,,http://hotels.ctrip.com/hotel/4330335.html,
东莞酒店,东莞89号住宿,塘厦镇创业街89号。 【塘厦镇】,,,,,http://hotels.ctrip.com/hotel/1583684.html,
成都酒店,凯旋日租公寓（成都花季街店）,花季街8号，近同兴东路。 【温江地区】,,,,,http://hotels.ctrip.c南昌酒店,南昌师范大学学术交流中心招待所,东湖区西路437号(江西师范大学校内)。 【八一广场地区（市中心）】,,2001年,135间,电话0791-88506081,http://hotels.ctrip.com/hotel/4814832.html,
中山酒店,中山华盛旅店,三乡镇鸿埠园大街60号。 【三乡镇】,,,,,http://hotels.ctrip.com/hotel/1287271.html,
昆明酒店,昆明鑫华商务宾馆,土桥村500号。 【东站】,,,,,http://hotels.ctrip.com/hotel/4337014.html,
东莞酒店,东莞锦宜住宿,大岭山镇大塘路7号。 【大岭山镇】,,,,,http://hotels.ctrip.com/hotel/1500754.html,
成都酒店,都江堰鑫鑫度假客栈,青城人家泉水二巷附一号,,,,,http://hotels.ctrip.com/hotel/4336414.html,
聊城酒店,聊城富龙宾馆,聊城东昌府郑家镇,,,,,http://hotels.ctrip.com/hotel/5084866.html,
武汉酒店,武汉七天假日酒店公寓,发展大道166号江锋大厦14楼，近汉口火车站。 【汉口火车站地区（园博园）】,,,,,http://hotels.ctrip.com/hotel/2214331.html,
济南酒店,济南客怡居宾馆,济南经二路万紫巷37号西街。 【火车站】,,,,,http://hotels.ctrip.com/hotel/969768.html,
聊城酒店,聊城白云宾馆（二店）,东昌府区站前街电脑科技城B区15号（东昌府区）,,,,,http://hotels.ctrip.com/hotel/1027195.html,
昆明酒店,昆明铭春连锁酒店（里程快捷店）,官渡区路136号（路与路交叉口）。 【火车站地区】,,,,,http://hotels.ctrip.com/hotel/4826305.html,
聊城酒店,聊城怡佳商务宾馆,东昌府区经一路凤凰工业园翡翠城西门,,,,,http://hotels.ctrip.com/hotel/4747264.html,
东莞酒店,东莞大朗平仔住宿,景富西路森大大药房附近。 【大朗镇】,,,,,http://hotels.ctrip.com/hotel/4333102.html,
东莞酒店,东莞广源楼住宿,塘厦镇塘龙中路59号。 【塘厦镇】,,,,,http://hotels.ctrip.com/hotel/1243811.html,
东莞酒店,舒心住宿（东莞永盛大街店）,凤岗镇永盛大街，近乐悠游儿童游乐园（新高凤岗店）。 【凤岗镇】,,,,,http://hotels.ctrip.com/hotel/2234945.html,
成都酒店,锦福公寓,常乐小区北二街2号。 【机场地区】,,,,,http://hotels.ctrip.com/hotel/4356775.html,
成都酒店,新街住宿,高新区新园大道,,,,,http://hotels.ctrip.com/hotel/4356878.html,
聊城酒店,聊城顺佳宾馆（建设西路站）,建设西路25号（汽车总站西邻）,,,,,http://hotels.ctrip.com/hotel/1048027.html,
菏泽酒店,菏泽淋泽宾馆,胜利路南方宾馆旁边,,,,,http://hotels.ctrip.com/hotel/4740846.html,
昆明酒店,昆明勤富出租房,呈贡区前卫营小区9栋3单元，贵客隆超市旁。 【呈贡新区】,,,,,http://hotels.ctrip.com/hotel/2045962.html,
昆明酒店,昆明梦里馨香宾馆,官渡区宏仁新村25排下444号（新螺蛳湾国际商贸城旁），近彩云北路。 【新螺蛳湾地区】,,,,,http://hotels.ctrip.com/hotel/2980119.html,
东莞酒店,东莞鸿凯公寓,黄江镇黄江大道100号。 【黄江镇】,,,,,http://hotels.ctrip.com/hotel/1567833.html,
杭州酒店,余杭兴旺旅馆,余杭东湖北路。 【余杭地区】,,,,,http://hotels.ctrip.com/hotel/4732649.html,
吉林酒店,吉林市蛟河洪韵旅店,卫生局附近,,,,,http://hotels.ctrip.com/hotel/4333756.html,
中山酒店,中山乐家居住宿,沙溪镇云兴路13号，近星宝时代广场。 【沙溪镇、沙朗镇】,,,,,http://hotels.ctrip.com/hotel/2343712.html,
东莞酒店,东莞清溪锦都住宿,清溪鹿湖西路165号,,,,,http://hotels.ctrip.com/hotel/4830964.html,
成都酒店,成都星语酒店公寓,锦江区红星国际7栋2207室，近红星路一段。 【太升路、四川电视塔春熙路、大慈寺商业区】,,,,,http://hotels.ctrip.com/hotel/2141329.html,
海晏(海北)酒店,海晏海晏金昊假日宾馆,原子路1号地税局西侧,,,,,http://hotels.ctrip.com/hotel/4833292.html,
海晏(海北)酒店,海晏尖沙湾蒙古包,西海镇环湖东路31.3公里处金沙湾账房营地（近湖东沙海景区）,,,,,http://hotels.ctrip.com/hotel/1306226.html,
杭州酒店,杭州游游旅馆,拱墅区舟山东路树人街七古登50号。 【运河商务区】,,,,,http://hotels.ctrip.com/hotel/1343397.html,
东莞酒店,东莞住房招租,厚街镇陈屋金丰昌路4号。 【厚街镇】,,,,,http://hotels.ctrip.com/hotel/1582032.html,
成都酒店,蒲江金成客栈,西来古镇文风街6号（近惜字宫）,,,,,http://hotels.ctrip.com/hotel/1914478.html,
成都酒店,成都东城宾馆,新都区金光路219号，近新都大道。 【新都地区】,,,,,http://hotels.ctrip.com/hotel/2201419.html,
东莞酒店,东莞爱民住宿,塘厦镇新阳路,,,,,http://hotels.ctrip.com/hotel/4331138.html,
聊城酒店,聊城京铁招待所,火车站站前街与兴华路交界处,,,,,http://hotels.ctrip.com/hotel/4740332.html,
杭州酒店,杭州鑫凯旅馆,下沙白杨街道景园小区55号。 【下沙开发区及高教园区】,,,,,http://hotels.ctrip.com/hotel/4732343.html,
东莞酒店,东莞咸西村蓝天公寓,长安镇咸西村铭恩中街一巷。 【长安镇】,,,,,http://hotels.ctrip.com/hotel/4333057.html,
聊城酒店,聊城名城快捷酒店(开发区店),开发区华山路聊大花园东苑南临,,,,,http://hotels.ctrip.com/hotel/4747262.html,
东莞酒店,东莞桥头大众出租房,桥头镇宏大四街东一巷42号,,,,,http://hotels.ctrip.com/hotel/4831252.html,
东莞酒店,东莞幸福公寓(厚街汀山店),汀山广场路,,,,,http://hotels.ctrip.com/hotel/4830175.html,
绵阳酒店,绵阳红政旅馆,高水路12号，近一环路北段。 【市区】,,,,,http://hotels.ctrip.com/hotel/2697845.html,
海晏(海北)酒店,海晏海南州赛乾牧家园蒙古包,金沙湾帐篷营地附近（近湖东沙海景区）,,,,,http://hotels.ctrip.com/hotel/1355594.html,
杭州酒店,杭州建英旅馆,江干区高沙小区2号。 【下沙开发区及高教园区】,,,,,http://hotels.ctrip.com/hotel/4731306.html,
杭州酒店,余杭乐乐旅馆,瓶窑镇葡萄畈农机点,,,,,http://hotels.ctrip.com/hotel/4331379.html,
杭州酒店,杭州锦兴宾馆,下沙智格小区241号。 【下沙开发区及高教园区】,,,,,http://hotels.ctrip.com/hotel/4730772.html,
成都酒店,成都如家客栈,龙泉驿区师大现代花园,,,,,http://hotels.ctrip.com/hotel/4331079.html,
海晏(海北)酒店,海晏湖东大酒店,环湖东路湖东羊场（近青海湖乡）,,,,,http://hotels.ctrip.com/hotel/2524882.html,
昆明酒店,昆明鑫林宾馆,红园路北仓园丁小区附近,,,,,http://hotels.ctrip.com/hotel/5093202.html,
中山酒店,中山雅安住宿,古镇镇古一新兴新村北六路9号。 【古镇】,,,,,http://hotels.ctrip.com/hotel/1347763.html,
成都酒店,成都阳光住房公寓,双流区成双大道南段1163号，近广履路。 【双流地区】,,,,,http://hotels.ctrip.com/hotel/2727953.html,
